Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (? Cr)
22-Jul-22,14325.05,14359.75,14265.25,14336.6,1246877998,42506.56
25-Jul-22,14307.9,14335.1,14228.15,14279.5,1389197352,41015.7
26-Jul-22,14284.7,14286.5,14122.55,14141.45,1492482903,42084.12
27-Jul-22,14131.8,14272.2,14099.9,14262.55,1507711153,39359.87
28-Jul-22,14365.05,14481.45,14330.3,14469.1,1742186254,52973.3
29-Jul-22,14588.15,14677.75,14553.65,14665.65,1916576289,57040.56
01-Aug-22,14741.4,14858.3,14666.2,14846.85,2120563196,52159.33
02-Aug-22,14831.9,14906,14765.3,14876.6,3265345125,55682.65
03-Aug-22,14880.65,14906.7,14750.75,14878.05,2403123575,51426.14
04-Aug-22,14944.95,14974.7,14688,14892.45,2320098205,54830.17
05-Aug-22,14933.2,14972.1,14874.25,14900.4,2153904409,52912.36
08-Aug-22,14910.6,15009.9,14867.2,14993.35,1420711786,41443.51
10-Aug-22,15033.3,15033.3,14919.2,14985.8,1671382607,48361.58
11-Aug-22,15123.65,15130.05,15069.9,15095.15,1496590462,46706.84
12-Aug-22,15102.8,15162.3,15060.75,15140.55,1736431366,49305.94
16-Aug-22,15222.9,15287.45,15203.5,15280.5,1771080346,50806.13
17-Aug-22,15325.35,15398.45,15306.55,15379.05,1881468758,52207.37
18-Aug-22,15355.6,15415.25,15325.2,15404.6,1749038510,50071.08
19-Aug-22,15426.2,15445.5,15205.55,15236.65,1925117182,57878.07
22-Aug-22,15183.1,15186.15,14980.4,15001.75,1648241622,47112.76
23-Aug-22,14887,15128.25,14879.9,15090.5,1844202013,48576.13
24-Aug-22,15062.45,15152.45,15037.15,15140.4,1754769023,44296.33
25-Aug-22,15208.85,15252.8,15075.1,15100.65,2157553941,47266.48
26-Aug-22,15187.1,15242.65,15116.2,15147.55,1714471790,43929.16
29-Aug-22,14797.8,15016.25,14793.95,14972.75,1543806646,44579.83
30-Aug-22,15071.45,15338.8,15065.35,15325.05,1849362622,57012.18
01-Sep-22,15142.7,15309.85,15141.45,15211.2,1887721217,55648.53
02-Sep-22,15272.45,15305,15184.3,15201.6,1721101724,47830.73
05-Sep-22,15221.75,15311.95,15217.35,15294.4,2063022326,41940.22
06-Sep-22,15339.3,15386.75,15248,15313.05,2340271959,46093.22
07-Sep-22,15222.25,15334,15199.4,15319.4,2329467161,54376.33
08-Sep-22,15430.2,15448.75,15365.7,15440.7,1962089739,50817.9
09-Sep-22,15547.55,15548.85,15426.4,15467.4,1883276625,50256.16
12-Sep-22,15524.7,15600.15,15522.4,15577.4,1403829153,46186.67
13-Sep-22,15667.35,15686.85,15635.15,15669.85,1799280675,52378.51
14-Sep-22,15423.9,15688.1,15423.9,15630.7,2023793430,63649.39
15-Sep-22,15686,15724.45,15543.9,15580.35,1805671642,57502.01
16-Sep-22,15529.35,15542,15197.9,15243.95,2582890903,84141.95
19-Sep-22,15264.25,15348.8,15135.15,15293.55,1592805437,51360.89
20-Sep-22,15423.5,15557.3,15410.25,15470.35,1514536206,50291.97
21-Sep-22,15449.25,15516.5,15320.05,15361.25,1633796422,48873.5
22-Sep-22,15284.6,15386.75,15224.95,15335.3,1868222839,50354.87
23-Sep-22,15324.3,15360.2,15032.75,15057.65,1723230144,49539.7
26-Sep-22,14916.9,14932.5,14671.05,14725.7,1994235461,56231.49
27-Sep-22,14805.85,14874.45,14652.3,14727.3,1676743917,48390.92
28-Sep-22,14617.4,14768.25,14577.05,14620.6,1559120413,44088.11
29-Sep-22,14748.2,14783.75,14569.1,14602.5,1813592799,58102.63
30-Sep-22,14586.9,14881.3,14516.3,14829.35,1881198019,53260.21
03-Oct-22,14837.1,14858.65,14585.8,14638.5,1665355078,46761.88
04-Oct-22,14869.55,14975.6,14852.55,14965.8,1536625583,43538.29
06-Oct-22,15063.55,15119.9,15042.2,15053.05,1649676252,49244.41
07-Oct-22,15030.2,15055.65,14943.15,15036.7,1535855659,41886.07
10-Oct-22,14857,14989.05,14818.5,14951.65,1420460846,38297.15
11-Oct-22,14980.45,14982.75,14692.55,14721.9,1498799633,44289.25
12-Oct-22,14761.45,14844.85,14676.55,14829.95,1418991409,39361.27
13-Oct-22,14811.2,14832.35,14683.55,14730.3,1316039824,36590.43
14-Oct-22,14979.15,14989.15,14803.7,14815.1,1270082006,38430.41
17-Oct-22,14783.2,14920.7,14718.8,14906.15,1400728636,38806.64
18-Oct-22,15009.1,15071.95,15007.25,15056.55,1737723416,44363.54
19-Oct-22,15120.4,15153.05,15039.8,15068.6,1895840786,42236.66
20-Oct-22,14998.45,15128.4,14979.6,15112.1,1946682857,42794.73
21-Oct-22,15159.6,15181.9,15036.1,15081.1,1652010476,49023.16
24-Oct-22,15225.45,15248.05,15179.15,15198.75,396649174,8510.37
25-Oct-22,15251.75,15253.75,15143.45,15158.1,1717823983,44733.42
27-Oct-22,15246.55,15273.3,15172.15,15244.25,1790193355,50629.83
28-Oct-22,15265.45,15290.15,15191.6,15241.6,1488533655,42323.52
31-Oct-22,15333.15,15433.05,15327.4,15424,1436076775,45150.45
01-Nov-22,15507.95,15545.85,15460.7,15537.4,1756374202,51994.19
02-Nov-22,15560.45,15561.1,15470.4,15497.55,1356369438,45387.78
03-Nov-22,15407.8,15519.15,15401.3,15484.7,1533581319,42508.55
04-Nov-22,15495.75,15542.15,15454.3,15530.85,1799754365,47682.93
